Référence;Nom produit;Marque;Fournisseur;Catégorie;Catégorie par défaut;URL Photos;Prix d'achat;Description HTML;Quantité;TVA;P transport;Prix public;Prix original;Longueur;Profondeur;Hauteur
A20BPP-2;Armoire frigorifique - 200 L - 1 porte - positive - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a20bpp_2.pdf;400.0;<h2>Armoire positive - 1 porte pleine - 200 l - finition laquée blanche</h2> <p>Fiable et durable, cette armoire de conservation AFI COLLIN-LUCY répond aux exigences les plus strictes des cuisines collectives et de la restauration commerciale. Ses caractéristiques clés : volume <strong>130 L</strong>, puissance <strong>120 W</strong>, dimensions <strong>600 x 585 x 850 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>A</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>130 L</strong>, Puissance : <strong>120 W</strong>, Niveaux : <strong>5 niveaux - pas de 70 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Dégivrage et réévaporation automatique</li> <li>Evaporateur type roll bond + ventilateur de brassage</li> <li>Gaz réfrigérant R600A</li> <li>Température de fonctionnement -2°C/+8°C</li> <li>Espacement entre les niveaux 70 mm</li> <li>Isolation : 40 mm sans CFC</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 130 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 120 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> A — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 600 x 585 x 850 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 43 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 2 grilles 502 x 415 mm + 1 grille 502 x 211 mm — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 2 grilles 502 x 415 mm + 1 grille 502 x 211 mm</li> <li><strong>Classe énergétique :</strong> A</li> <li><strong>Volume :</strong> 130 L</li> <li><strong>Puissance :</strong> 120 W</li> <li><strong>Poids :</strong> 43 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 600 x 585 x 850 mm</li> <li><strong>Niveaux :</strong> 5 niveaux - pas de 70 mm</li> </ul>;1;20;80;625.0;625.0;600;585;850
A40BPP-2;Armoire réfrigérée professionnelle - 400 L - 1 porte - positive - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a40bpp_2.pdf;586.88;<h2>Armoire positive - 1 porte pleine - 400 l - finition laquée blanche</h2> <p>Destinée aux professionnels de la restauration, cette armoire AFI COLLIN-LUCY assure une conservation irréprochable de vos denrées grâce à une réfrigération fiable et efficace. Ses caractéristiques clés : volume <strong>350 L</strong>, puissance <strong>195 W</strong>, dimensions <strong>600 x 585 x 1850 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>D</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>350 L</strong>, Puissance : <strong>195 W</strong>, Niveaux : <strong>19 niveaux - pas de 70 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Dégivrage et réévaporation automatique</li> <li>Evaporateur type roll bond + ventilateur de brassage</li> <li>Gaz réfrigérant R600A</li> <li>Température de fonctionnement -2°C/+8°C</li> <li>Espacement entre les niveaux 70 mm</li> <li>Isolation : 40 mm sans CFC</li> <li>+ 1 grille 502 x 211 mm</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 350 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 195 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> D — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 600 x 585 x 1850 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 69 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 3 grilles 502 x 415 mm — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 3 grilles 502 x 415 mm</li> <li><strong>Classe énergétique :</strong> D</li> <li><strong>Volume :</strong> 350 L</li> <li><strong>Puissance :</strong> 195 W</li> <li><strong>Poids :</strong> 69 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 600 x 585 x 1850 mm</li> <li><strong>Niveaux :</strong> 19 niveaux - pas de 70 mm</li> </ul>;1;20;80;917.0;917.0;600;585;1850
A60BPP-2;Armoire froide professionnelle - 600 L - 1 porte - positive - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a60bpp_2.pdf;696.32;<h2>Armoire positive - 1 porte pleine - 600 l - finition laquée blanche</h2> <p>Destinée aux professionnels de la restauration, cette armoire AFI COLLIN-LUCY assure une conservation irréprochable de vos denrées grâce à une réfrigération fiable et efficace. Ses caractéristiques clés : volume <strong>570 L</strong>, puissance <strong>235 W</strong>, dimensions <strong>777 x 695 x 1890 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>D</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>570 L</strong>, Puissance : <strong>235 W</strong>, Niveaux : <strong>19 niveaux - pas de 70 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Pieds inox hauteur 90 mm fournis d’origine</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Dégivrage et réévaporation automatique</li> <li>Evaporateur type roll bond + ventilateur de brassage</li> <li>Gaz réfrigérant R600A</li> <li>Température de fonctionnement -2°C/+8°C</li> <li>Espacement entre les niveaux 70 mm</li> <li>Isolation : 40 mm sans CFC</li> <li>Dimensions intérieures GN 2/1</li> <li>Hauteur sans pieds</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 570 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 235 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> D — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 777 x 695 x 1890 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 92 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 3 grilles GN 2/1 (650 x 530 mm) + 1 grille 650 x 305 mm — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 3 grilles GN 2/1 (650 x 530 mm) + 1 grille 650 x 305 mm</li> <li><strong>Classe énergétique :</strong> D</li> <li><strong>Volume :</strong> 570 L</li> <li><strong>Puissance :</strong> 235 W</li> <li><strong>Poids :</strong> 92 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 777 x 695 x 1890 mm</li> <li><strong>Niveaux :</strong> 19 niveaux - pas de 70 mm</li> </ul>;1;20;80;1088.0;1088.0;777;695;1890
A20BNP-2;Armoire de conservation - 200 L - 1 porte - négative - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a20bnp_2.pdf;426.88;<h2>Armoire négative - 1 porte pleine - 200 l - finition laquée blanche</h2> <p>Robuste et performante, cette armoire frigorifique AFI COLLIN-LUCY maintient vos produits à la température idéale pour un usage intensif au quotidien. Ses caractéristiques clés : volume <strong>120 L</strong>, puissance <strong>195 W</strong>, dimensions <strong>600 x 585 x 850 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>A</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>120 L</strong>, Puissance : <strong>195 W</strong>, Niveaux : <strong>3 niveaux - pas de 220 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Grilles fixes évaporatrices</li> <li>Réfrigération statique</li> <li>Gaz réfrigérant R290A</li> <li>Température de fonctionnement -18/-22°C</li> <li>Dégivrage manuel</li> <li>Isolation : 60 mm sans CFC</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 120 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 195 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> A — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 600 x 585 x 850 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 48 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 3 grilles 400 x 415 mm évaporatrices fixes — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 3 grilles 400 x 415 mm évaporatrices fixes</li> <li><strong>Classe énergétique :</strong> A</li> <li><strong>Volume :</strong> 120 L</li> <li><strong>Puissance :</strong> 195 W</li> <li><strong>Poids :</strong> 48 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 600 x 585 x 850 mm</li> <li><strong>Niveaux :</strong> 3 niveaux - pas de 220 mm</li> </ul>;1;20;80;667.0;667.0;600;585;850
A40BNP-2;Armoire frigorifique - 400 L - 1 porte - négative - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a40bnp_2.pdf;636.16;<h2>Armoire négative - 1 porte pleine - 400 l - finition laquée blanche</h2> <p>Fiable et durable, cette armoire de conservation AFI COLLIN-LUCY répond aux exigences les plus strictes des cuisines collectives et de la restauration commerciale. Ses caractéristiques clés : volume <strong>340 L</strong>, puissance <strong>245 W</strong>, dimensions <strong>600 x 585 x 1850 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>C</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>340 L</strong>, Puissance : <strong>245 W</strong>, Niveaux : <strong>7 niveaux - pas de 225 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Grilles fixes évaporatrices</li> <li>Réfrigération statique</li> <li>Gaz réfrigérant R290A</li> <li>Température de fonctionnement -18/-22°C</li> <li>Dégivrage manuel</li> <li>Isolation : 60 mm sans CFC</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 340 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 245 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> C — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 600 x 585 x 1850 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 71 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 7 grilles 431 x 415 mm évaporatrices fixes — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 7 grilles 431 x 415 mm évaporatrices fixes</li> <li><strong>Classe énergétique :</strong> C</li> <li><strong>Volume :</strong> 340 L</li> <li><strong>Puissance :</strong> 245 W</li> <li><strong>Poids :</strong> 71 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 600 x 585 x 1850 mm</li> <li><strong>Niveaux :</strong> 7 niveaux - pas de 225 mm</li> </ul>;1;20;80;994.0;994.0;600;585;1850
A60BNP-2;Armoire froide professionnelle - 600 L - 1 porte - négative - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_a60bnp_2.pdf;760.32;<h2>Armoire négative - 1 porte pleine - 600 l - finition laquée blanche</h2> <p>Fiable et durable, cette armoire de conservation AFI COLLIN-LUCY répond aux exigences les plus strictes des cuisines collectives et de la restauration commerciale. Ses caractéristiques clés : volume <strong>555 L</strong>, puissance <strong>255 W</strong>, dimensions <strong>777 x 695 x 1890 mm</strong>.</p> <h3>Configuration</h3> <p>Classe énergétique : <strong>B</strong></p> <h3>Performances et régulation</h3> <p>Volume : <strong>555 L</strong>, Puissance : <strong>255 W</strong>, Niveaux : <strong>7 niveaux - pas de 233 mm</strong></p> <h3>Équipements et finitions</h3><ul> <li>Intérieur ABS</li> <li>Finition laquée blanche</li> <li>Cuve ABS à angles arrondis : facilité de nettoyage</li> <li>Thermostat électronique</li> <li>Affichage digital</li> <li>Eclairage intérieur</li> <li>Fermeture à clef</li> <li>Porte réversible</li> <li>Prévue pour température ambiante maximale de +32°C</li> <li>Alimentation : 230/1/T</li> <li>Pieds inox hauteur 90 mm fournis d’origine</li> <li>Livrée avec 2 roulettes montées à l’arrière</li> <li>Grilles fixes évaporatrices</li> <li>Réfrigération statique</li> <li>Gaz réfrigérant R290A</li> <li>Température de fonctionnement -18/-22°C</li> <li>Dégivrage manuel</li> <li>Isolation : 60 mm sans CFC</li> <li>Dimensions intérieures GN 2/1</li> <li>Hauteur sans pieds</li> </ul> <h3>Points forts</h3><ul> <li><strong>Volume :</strong> 555 L — capacité adaptée à une production professionnelle intensive.</li> <li><strong>Puissance :</strong> 255 W — performance optimale pour une consommation maîtrisée.</li> <li><strong>Classe énergétique :</strong> B — efficacité énergétique certifiée.</li> <li><strong>Dimensions :</strong> 777 x 695 x 1890 mm — encombrement maîtrisé pour une intégration facile.</li> <li><strong>Poids :</strong> 96 kg — robustesse et stabilité pour un usage quotidien intensif.</li> <li><strong>Dotation :</strong> 7 grilles GN 2/1 (650 x 530 mm) évaporatrices fixes — livré prêt à l'emploi.</li> </ul> <h3>Caractéristiques techniques</h3><ul> <li><strong>Dotation :</strong> 7 grilles GN 2/1 (650 x 530 mm) évaporatrices fixes</li> <li><strong>Classe énergétique :</strong> B</li> <li><strong>Volume :</strong> 555 L</li> <li><strong>Puissance :</strong> 255 W</li> <li><strong>Poids :</strong> 96 kg</li> <li><strong>Dimensions (L x P x H) :</strong> 777 x 695 x 1890 mm</li> <li><strong>Niveaux :</strong> 7 niveaux - pas de 233 mm</li> </ul>;1;20;80;1188.0;1188.0;777;695;1890
GA40;Clayette plastifiée blanche - 502 x 415 mm - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/2a1985c1-c200-46c5-bdbe-cd325f494330/file/display/ft_ga40.pdf;8.96;<h2>Clayette plastifiée blanche - 502 x 415 mm</h2> <p>Cet accessoire AFI COLLIN-LUCY s'adapte parfaitement à vos équipements réfrigérés pour maximiser leur capacité de rangement et faciliter l'organisation.</p> <h3>Équipements et finitions</h3><ul> <li>Dimensions (L x P) : 502 x 415 mm</li> </ul>;1;20;20;14.0;14.0;;;
GA60;Grille de rangement professionnelle - GN 2/1 - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://www.collin-lucy.fr/Catalog-Documents/GA60-AFI.pdf;9.6;<h2>Clayette plastifiée blanche - gn 2/1 - 650 x 530 mm</h2> <p>Fabriqué dans des matériaux alimentaires certifiés, cet accessoire AFI COLLIN-LUCY complète idéalement votre installation frigorifique professionnelle.</p> <h3>Équipements et finitions</h3><ul> <li>Dimensions (L x P) : GN 2/1 - 650 x 530 mm</li> </ul>;1;20;20;15.0;15.0;;;
AP360;Armoire frigorifique - 308 L - positive - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_ap360.pdf;839.68;<h2>Armoire positive porte pleine - 308 l - finition laquée blanche</h2> <p>Robuste et performante, cette armoire frigorifique AFI COLLIN-LUCY maintient vos produits à la température idéale pour un usage intensif au quotidien.</p> <h3>Équipements et finitions</h3><ul> <li>INTÉRIEUR ABS</li> <li>FINITION BLANCHE</li> <li>POSITIVE VENTILÉE</li> <li>PORTE RÉVERSIBLE</li> <li>THERMOSTAT DIGITAL</li> <li>Sur roulettes</li> <li>230 V Mono</li> <li>Finition intérieure en polystyrol thermoformé</li> <li>Condenseur ventilé</li> <li>Porte à fermeture automatique</li> <li>Serrure</li> <li>Gaz réfrigérant R600A</li> <li>Température +1°C/+8°C</li> <li>Froid ventilé</li> <li>Isolation en polyuréthane 50 mm</li> <li>Évaporateur ventilé (ventilateur tangentiel très silencieux)</li> <li>Réévaporation automatique</li> <li>Dégivrage automatique</li> <li>Dotation : 4 clayettes réglables en hauteur (495 x 428 mm)</li> <li>Volume : 308 L</li> <li>Puissance : 180 W</li> <li>Poids : 71 kg</li> <li>Dimensions (L x P x H) : 590 x 600 (+45) x 1860 mm</li> </ul>;1;20;80;1312.0;1312.0;;;
AP360L;Armoire frigorifique - 308 L - positive - inox - AFI COLLIN-LUCY;AFI COLLIN-LUCY;AFI COLLIN-LUCY;;;https://cdnapi.interactiv-database.fr/api/public/29b14095-9e48-4f9f-91d6-24835de9a720/file/display/ft_ap360l.pdf;916.48;<h2>Armoire positive porte pleine - 308 l - finition inox</h2> <p>Destinée aux professionnels de la restauration, cette armoire AFI COLLIN-LUCY assure une conservation irréprochable de vos denrées grâce à une réfrigération fiable et efficace.</p> <h3>Équipements et finitions</h3><ul> <li>INTÉRIEUR ABS</li> <li>FINITION INOX</li> <li>POSITIVE VENTILÉE</li> <li>PORTE RÉVERSIBLE</li> <li>THERMOSTAT DIGITAL</li> <li>Sur roulettes</li> <li>230 V Mono</li> <li>Finition intérieure en polystyrol thermoformé</li> <li>Condenseur ventilé</li> <li>Porte à fermeture automatique</li> <li>Serrure</li> <li>Gaz réfrigérant R600A</li> <li>Température +1°C/+8°C</li> <li>Froid ventilé</li> <li>Isolation en polyuréthane 50 mm</li> <li>Évaporateur ventilé (ventilateur tangentiel très silencieux)</li> <li>Réévaporation automatique</li> <li>Dégivrage automatique</li> <li>Dotation : 4 clayettes réglables en hauteur (495 x 428 mm)</li> <li>Volume : 308 L</li> <li>Puissance : 180 W</li> <li>Poids : 76 kg</li> <li>Dimensions (L x P x H) : 590 x 600 (+45) x 1860 mm</li> </ul>;1;20;80;1432.0;1432.0;;;
